side,entry_time,entry_price,sltp,partial_taken,exit_time,exit_price,result,pnl_pct,equity_curve
LONG,2025-06-04 12:05:00,668.93,"TradeExit(trailing_stop=667.6819594923736, sl=667.5, tp=670.9319999999998, sl_pct=0.002137742364671864, tp_pct=0.0029928393105406095, partial_tp=670.3599999999999, partial_size=0.5)",False,2025-06-04 13:00:00,667.5,LOSS,,
LONG,2025-06-04 13:20:00,667.81,"TradeExit(trailing_stop=666.3189135495287, sl=666.16, tp=670.1199999999999, sl_pct=0.002470762642068818, tp_pct=0.0034590676988963446, partial_tp=669.4599999999999, partial_size=0.5)",False,2025-06-04 14:05:00,666.16,LOSS,,
LONG,2025-06-04 14:45:00,667.53,"TradeExit(trailing_stop=665.6047368505178, sl=667.53, tp=670.8899999999999, sl_pct=0.003595344029481787, tp_pct=0.005033481641274502, partial_tp=669.93, partial_size=0.5)",False,2025-06-04 15:35:00,670.23,PARTIAL_50,0.20223810165835585,0.20223810165835585
LONG,2025-06-04 14:45:00,667.53,"TradeExit(trailing_stop=665.6047368505178, sl=667.53, tp=670.8899999999999, sl_pct=0.003595344029481787, tp_pct=0.005033481641274502, partial_tp=669.93, partial_size=0.5)",True,2025-06-04 17:20:00,667.53,LOSS,,
LONG,2025-06-04 18:20:00,668.12,"TradeExit(trailing_stop=666.5704152160598, sl=666.13, tp=670.9060000000001, sl_pct=0.0029785068550559914, tp_pct=0.004169909597078388, partial_tp=670.11, partial_size=0.5)",False,2025-06-04 20:00:00,666.13,LOSS,,
SHORT,2025-06-05 12:55:00,662.75,"TradeExit(trailing_stop=665.067524156616, sl=662.75, tp=658.9, sl_pct=0.004149377593360996, tp_pct=0.0058091286307053935, partial_tp=660.0, partial_size=0.5)",False,2025-06-05 14:00:00,658.28,PARTIAL_50,0.33723123349679573,0.5394693351551516
SHORT,2025-06-05 12:55:00,662.75,"TradeExit(trailing_stop=665.067524156616, sl=662.75, tp=658.9, sl_pct=0.004149377593360996, tp_pct=0.0058091286307053935, partial_tp=660.0, partial_size=0.5)",True,2025-06-05 14:00:00,658.9,WIN,,
SHORT,2025-06-05 16:05:00,657.18,"TradeExit(trailing_stop=659.1883360619016, sl=657.18, tp=653.0779999999999, sl_pct=0.004458443653184917, tp_pct=0.006241821114458883, partial_tp=654.2499999999999, partial_size=0.5)",False,2025-06-05 16:45:00,653.95,PARTIAL_50,0.24574697951854169,0.7852163146736932
SHORT,2025-06-05 16:05:00,657.18,"TradeExit(trailing_stop=659.1883360619016, sl=657.18, tp=653.0779999999999, sl_pct=0.004458443653184917, tp_pct=0.006241821114458883, partial_tp=654.2499999999999, partial_size=0.5)",True,2025-06-05 17:45:00,653.0779999999999,WIN,,
SHORT,2025-06-05 18:55:00,650.22,"TradeExit(trailing_stop=652.7935340359272, sl=650.22, tp=644.3820000000001, sl_pct=0.006413213989111315, tp_pct=0.00897849958475584, partial_tp=646.0500000000001, partial_size=0.5)",False,2025-06-05 19:15:00,642.28,PARTIAL_50,0.6105625788194806,1.3957788934931739
SHORT,2025-06-05 18:55:00,650.22,"TradeExit(trailing_stop=652.7935340359272, sl=650.22, tp=644.3820000000001, sl_pct=0.006413213989111315, tp_pct=0.00897849958475584, partial_tp=646.0500000000001, partial_size=0.5)",True,2025-06-05 19:15:00,644.3820000000001,WIN,,
SHORT,2025-06-06 09:45:00,641.85,"TradeExit(trailing_stop=643.3561672991564, sl=643.9, tp=638.98, sl_pct=0.0031938926540468248, tp_pct=0.004471449715665554, partial_tp=639.8000000000001, partial_size=0.5)",False,2025-06-06 11:00:00,643.9,LOSS,,
