atr_5,volume_ma_5,volume,candle_range,alt_btc_ratio,upper_wick,ema_14_slope,ema_14_prev,rsi_7,lower_wick_ratio,ema_divergence_slope,upper_wick_ratio,ema_divergence,lower_wick,body_to_range,timestamp,binary_label
0.0096,313013.914,98728.81,0.00500001,9.898072389405076e-06,0.001,-0.0009859148491619,0.5783943613687152,54.54528099228776,0.1999996000008,0.0004056750309365,0.1999996000008,-0.0046677270648771,0.001,0.5999988000024,2024-09-02 06:00:00+00:00,1
0.0074,176965.36599999998,223240.25,0.00800001,9.852646460806015e-06,0.002,-0.0013877928692737,0.5774084465195533,41.66654513924335,0.2499996875003906,-4.738699439532645e-05,0.2499996875003906,-0.0047151140592724,0.002,0.4999993750007812,2024-09-02 07:00:00+00:00,1
0.0092,188914.628,291095.69,0.01400001,9.938678183361203e-06,0.003,0.000130579513296,0.5760206536502795,58.82340830474761,0.0714285204081997,0.0012930355889521,0.2142855612245991,-0.0034220784703203,0.001,0.7142852040819971,2024-09-02 08:00:00+00:00,0
0.0118,281412.544,655007.01,0.02200001,1.0050965414919093e-05,0.008,0.0014465022448566,0.5761512331635756,68.18170971091637,0.1818180991735912,0.0021212090818295,0.3636361983471825,-0.0013008693884908,0.004,0.4545452479339781,2024-09-02 09:00:00+00:00,0
0.0114,323860.374,351230.11,0.00800001,1.0102821422289216e-05,0.003,0.001786968612209,0.5775977354084323,68.88878172856175,0.0,0.0018888148828055,0.3749995312505859,0.0005879454943147,0.0,0.6249992187509765,2024-09-02 10:00:00+00:00,0
0.0116,345366.974,206261.81,0.00600001,1.0081816767345046e-05,0.002,0.0012820394639144,0.5793847040206414,77.49986437523734,0.3333327777787037,0.0009747981573464,0.3333327777787037,0.0015627436516612,0.002,0.3333327777787037,2024-09-02 11:00:00+00:00,0
0.011,340433.67,198573.73,0.00500001,1.0052412972990004e-05,0.003,0.0008444342020592,0.5806667434845558,68.57129142884571,0.1999996000008,0.0003481940138865,0.5999988000024,0.0019109376655477,0.001,0.1999996000008,2024-09-02 12:00:00+00:00,0
0.0098,330748.894,242671.81,0.00800001,1.0003227845686288e-05,0.002,6.517630845137568e-05,0.5815111776866151,64.86474214778512,0.2499996875003906,-0.000420705146492,0.2499996875003906,0.0014902325190556,0.002,0.4999993750007812,2024-09-02 13:00:00+00:00,0
0.0086,245735.218,229938.63,0.01600001,1.0137037732307114e-05,0.0,0.0016564861339911,0.5815763539950665,79.99987555574913,0.312499804687622,0.0010768672374782,0.0,0.0025670997565339,0.005,0.6874995703127685,2024-09-02 14:00:00+00:00,0
0.008,229300.598,269057.01,0.00500001,1.0096007737880989e-05,0.002,0.0010356213161256,0.5832328401290576,68.42092659302996,0.1999996000008,0.0002643937124764,0.3999992000016,0.0028314934690103,0.001,0.3999992000016,2024-09-02 15:00:00+00:00,0
0.0086,214070.094,130109.29,0.00900001,1.0077984403119377e-05,0.005,0.0004975384739756,0.5842684614451833,51.61278668080427,0.1111109876544581,-0.000272527202524,0.5555549382722909,0.0025589662664863,0.001,0.3333329629633745,2024-09-02 16:00:00+00:00,0
0.0094,218517.348,220810.0,0.00900001,1.0151415020095186e-05,0.002,0.0012312000107789,0.5847659999191589,54.54533884322064,0.0,0.0004375584428097,0.2222219753089163,0.0029965247092961,0.0,0.7777769135812072,2024-09-02 17:00:00+00:00,0
0.0092,214600.734,223088.74,0.00700001,1.0122078767212876e-05,0.003,0.0008003733426749,0.5859971999299378,54.54533884322064,0.2857138775516035,-4.880450248334611e-05,0.4285708163274052,0.0029477202068127,0.002,0.2857138775516035,2024-09-02 18:00:00+00:00,0
0.0068,196633.174,140100.83,0.00400001,1.013004964579905e-05,0.001,0.0006936568969849,0.5867975732726127,58.0643850159048,0.7499981250046875,-0.0001299802668413,0.2499993750015625,0.0028177399399714,0.003,0.0,2024-09-02 19:00:00+00:00,0
